yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
198001,,,,54.5,75.0,83.3
198002,,,,54.5,90.0,94.4
198003,,,,45.5,75.0,88.9
198004,,,,40.9,95.0,77.8
198005,,,,36.4,35.0,55.6
198006,,,,45.5,50.0,83.3
198007,,,,18.2,20.0,77.8
198008,,,,9.1,10.0,66.7
198009,,,,18.2,20.0,66.7
198010,,,,36.4,30.0,66.7
198011,,,,27.3,60.0,77.8
198012,,,,63.6,40.0,33.3
198101,,,,36.4,35.0,55.6
198102,,,,54.5,50.0,50.0
198103,,,,36.4,30.0,77.8
198104,,,,59.1,45.0,44.4
198105,,,,54.5,35.0,55.6
198106,,,,72.7,60.0,33.3
198107,,,,81.8,80.0,38.9
198108,,,,81.8,90.0,33.3
198109,,,,72.7,85.0,55.6
198110,,,,63.6,60.0,55.6
198111,,,,54.5,70.0,44.4
198112,,,,72.7,60.0,33.3
198201,,,,27.3,20.0,66.7
198202,,,,54.5,0.0,55.6
198203,,,,22.7,40.0,55.6
198204,,,,27.3,20.0,44.4
198205,,,,27.3,30.0,55.6
198206,,,,36.4,5.0,77.8
198207,,,,40.9,40.0,50.0
198208,,,,27.3,55.0,44.4
198209,,,,72.7,60.0,33.3
198210,,,,45.5,35.0,33.3
198211,,,,40.9,55.0,33.3
198212,,,,27.3,10.0,22.2
198301,,,,81.8,80.0,22.2
198302,,,,45.5,45.0,22.2
198303,,,,63.6,75.0,33.3
198304,,,,72.7,55.0,44.4
198305,,,,81.8,55.0,33.3
198306,,,,90.9,50.0,50.0
198307,,,,81.8,75.0,55.6
198308,,,,90.9,95.0,66.7
198309,,,,81.8,90.0,55.6
198310,,,,90.9,80.0,44.4
198311,,,,72.7,65.0,55.6
198312,,,,81.8,80.0,50.0
198401,,,,63.6,90.0,61.1
198402,,,,72.7,100.0,88.9
198403,,,,72.7,95.0,88.9
198404,,,,72.7,80.0,88.9
198405,,,,45.5,65.0,66.7
198406,,,,45.5,70.0,61.1
198407,,,,40.9,100.0,77.8
198408,,,,45.5,70.0,66.7
198409,,,,45.5,75.0,100.0
198410,,,,50.0,70.0,100.0
198411,,,,63.6,90.0,77.8
198412,,,,63.6,90.0,88.9
198501,84.4,90.6,84.7,54.5,70.0,94.4
198502,84.7,90.2,84.4,45.5,45.0,77.8
198503,84.6,90.1,85.0,40.9,55.0,77.8
198504,85.2,91.2,85.7,63.6,60.0,66.7
198505,85.3,91.1,85.7,54.5,75.0,83.3
198506,84.6,90.4,86.1,45.5,70.0,61.1
198507,84.4,91.4,87.2,45.5,55.0,61.1
198508,83.2,90.8,87.4,22.7,30.0,77.8
198509,83.4,90.8,86.9,36.4,50.0,55.6
198510,83.1,91.0,86.1,27.3,20.0,33.3
198511,82.5,91.1,86.6,36.4,55.0,33.3
198512,82.5,90.5,87.0,27.3,50.0,55.6
198601,83.1,90.2,86.9,45.5,35.0,66.7
198602,82.4,90.0,87.0,36.4,30.0,66.7
198603,82.2,89.5,86.9,27.3,40.0,61.1
198604,81.7,89.9,85.3,36.4,50.0,44.4
198605,80.6,89.4,85.9,27.3,50.0,38.9
198606,80.6,89.2,85.8,36.4,60.0,33.3
198607,80.2,88.7,85.4,45.5,40.0,50.0
198608,81.1,88.3,85.2,50.0,30.0,38.9
198609,80.8,89.8,85.5,72.7,80.0,50.0
198610,80.5,89.2,85.5,63.6,60.0,66.7
198611,80.3,88.5,85.0,36.4,55.0,66.7
198612,81.7,89.5,85.0,72.7,30.0,33.3
198701,82.7,89.9,84.8,77.3,65.0,55.6
198702,83.7,90.2,85.0,81.8,100.0,61.1
198703,85.4,91.1,85.6,81.8,100.0,66.7
198704,86.5,91.1,85.7,72.7,70.0,77.8
198705,88.8,91.4,85.2,90.9,60.0,55.6
198706,90.6,93.0,86.0,100.0,80.0,61.1
198707,91.6,94.0,86.9,81.8,90.0,55.6
198708,93.7,94.7,87.7,77.3,90.0,61.1
198709,94.7,96.1,88.1,81.8,100.0,77.8
198710,96.0,97.5,88.6,95.5,95.0,72.2
198711,96.8,98.2,89.0,72.7,90.0,72.2
198712,96.3,99.1,90.1,72.7,80.0,94.4
198801,97.7,100.0,90.4,72.7,85.0,77.8
198802,98.7,102.3,91.4,77.3,100.0,66.7
198803,97.9,101.1,92.3,54.5,70.0,77.8
198804,98.0,103.1,92.7,36.4,90.0,88.9
198805,98.4,102.6,93.5,36.4,30.0,77.8
198806,98.4,103.5,94.0,54.5,70.0,55.6
198807,98.1,104.3,94.6,63.6,50.0,72.2
198808,98.0,104.8,95.7,63.6,70.0,77.8
198809,97.9,105.4,96.6,45.5,70.0,88.9
198810,98.8,105.6,97.6,45.5,70.0,100.0
198811,99.4,107.3,97.8,63.6,80.0,100.0
198812,100.9,107.6,98.6,81.8,90.0,77.8
198901,100.0,108.4,98.9,50.0,90.0,77.8
198902,99.2,108.1,99.5,45.5,65.0,77.8
198903,100.3,111.9,101.0,54.5,90.0,94.4
198904,100.3,109.2,101.6,63.6,50.0,55.6
198905,99.7,109.3,102.4,54.5,80.0,66.7
198906,100.0,109.9,103.5,45.5,30.0,66.7
198907,99.8,109.4,103.8,45.5,50.0,94.4
198908,100.4,110.9,103.9,72.7,90.0,88.9
198909,100.4,111.4,104.4,54.5,60.0,61.1
