date,us_gdp,japan_gdp,world_gdp
19470101,243.164,,
19470401,245.968,,
19470701,249.585,,
19471001,259.745,,
19480101,265.742,,
19480401,272.567,,
19480701,279.196,,
19481001,280.366,,
19490101,275.034,,
19490401,271.351,,
19490701,272.889,,
19491001,270.627,,
19500101,280.828,,
19500401,290.383,,
19500701,308.153,,
19501001,319.945,,
19510101,336.0,,
19510401,344.09,,
19510701,351.385,,
19511001,356.178,,
19520101,359.82,,
19520401,361.03,,
19520701,367.701,,
19521001,380.812,,
19530101,387.98,,
19530401,391.749,,
19530701,391.171,,
19531001,385.97,,
19540101,385.345,,
19540401,386.121,,
19540701,390.996,,
19541001,399.734,,
19550101,413.073,,
19550401,421.532,,
19550701,430.221,,
19551001,437.092,,
19560101,439.746,,
19560401,446.01,,
19560701,451.191,,
19561001,460.463,,
19570101,469.779,,
19570401,472.025,,
19570701,479.49,,
19571001,474.864,,
19580101,467.54,,
19580401,471.978,,
19580701,485.841,,
19581001,499.555,,
19590101,510.33,,
19590401,522.653,,
19590701,525.034,,
19591001,528.6,,
19600101,542.648,,1366518832081.63
19600401,541.08,,
19600701,545.604,,
19601001,540.197,,
19610101,545.018,,1444155801377.01
19610401,555.545,,
19610701,567.664,,
19611001,580.612,,
19620101,594.013,,1545552148962.66
19620401,600.366,,
19620701,609.027,,
19621001,612.28,,
19630101,621.672,,1671283302003.2
19630401,629.752,,
19630701,644.444,,
19631001,653.938,,
19640101,669.822,,1832063117758.4
19640401,678.674,,
19640701,692.031,,
19641001,697.319,,
19650101,717.79,,1996307969114.51
19650401,730.191,,
19650701,749.323,,
19651001,771.857,,
19660101,795.734,,2163210217039.9
19660401,804.981,,
19660701,819.638,,
19661001,833.302,,
19670101,844.17,,2295465833625.8
19670401,848.983,,
19670701,865.233,,
19671001,881.439,,
19680101,909.387,,2480759067236.83
19680401,934.344,,
19680701,950.825,,
19681001,968.03,,
19690101,993.337,,2739621571022.64
19690401,1009.02,,
19690701,1029.956,,
19691001,1038.147,,
19700101,1051.2,,3003540496240.13
19700401,1067.375,,
19700701,1086.059,,
19701001,1088.608,,
19710101,1135.156,,3319027899480.72
19710401,1156.271,,
19710701,1177.675,,
19711001,1190.297,,
19720101,1230.609,,3833708718081.18
19720401,1266.369,,
19720701,1290.566,,
19721001,1328.904,,
19730101,1377.49,,4688479153647.36
19730401,1413.887,,
19730701,1433.838,,
19731001,1476.289,,
19740101,1491.209,,5419268099653.94
19740401,1530.056,,
19740701,1560.026,,
19741001,1599.679,,
19750101,1616.116,,6033913861320.21
19750401,1651.853,,
19750701,1709.82,,
19751001,1761.831,,
19760101,1820.487,,6559468891337.8
19760401,1852.332,,
19760701,1886.558,,
19761001,1934.273,,
19770101,1988.648,,7415806396991.26
19770401,2055.909,,
19770701,2118.473,,
19771001,2164.27,,
19780101,2202.76,,8779411323126.77
19780401,2331.633,,
19780701,2395.053,,
19781001,2476.949,,
19790101,2526.61,,10155057859289.1
19790401,2591.247,,
19790701,2667.565,,
19791001,2723.883,,
19800101,2789.842,,11451170034154.7
19800401,2797.352,,
19800701,2856.483,,
19801001,2985.557,,
19810101,3124.206,,11841581193682.8
19810401,3162.532,,
19810701,3260.609,,
19811001,3280.818,,
19820101,3274.302,,11717779602332.8
19820401,3331.972,,
19820701,3366.322,,
19821001,3402.561,,
19830101,3473.413,,11961355656014.3
19830401,3578.848,,
19830701,3689.179,,
19831001,3794.706,,
19840101,3908.054,,12426298948063.8
19840401,4009.601,,
19840701,4084.25,,
19841001,4148.551,,
19850101,4230.168,,13015126741165.1
19850401,4294.887,,
19850701,4386.773,,
19851001,4444.094,,
19860101,4507.894,,15345851424081.5
19860401,4545.34,,
19860701,4607.669,,
19861001,4657.627,,
19870101,4722.156,,17468553825521.0
19870401,4806.16,,
19870701,4884.555,,
19871001,5007.994,,
19880101,5073.372,,19519047023614.8
19880401,5190.036,,
19880701,5282.835,,
19881001,5399.509,,
19890101,5511.253,,20388471827492.5
19890401,5612.463,,
19890701,5695.365,,
19891001,5747.237,,
19900101,5872.701,,22908354034045.6
19900401,5960.028,,
19900701,6015.116,,
19901001,6004.733,,
19910101,6035.178,,23910596567368.3
19910401,6126.862,,
19910701,6205.937,,
19911001,6264.54,,
19920101,6363.102,,25534904654814.5
19920401,6470.763,,
19920701,6566.641,,
19921001,6680.803,,
19930101,6729.459,,25961274908090.3
19930401,6808.939,,
19930701,6882.098,,
19931001,7013.738,,
19940101,7115.652,510102.3,27945244047282.9
19940401,7246.931,509036.9,
19940701,7331.075,512989.6,
19941001,7455.288,511571.9,
19950101,7522.289,514907.7,31154594865009.5
19950401,7580.997,518785.3,
19950701,7683.125,525381.9,
19951001,7772.586,527014.7,
19960101,7868.468,529016.9,31872116364319.2
19960401,8032.84,536049.0,
19960701,8131.408,536123.2,
19961001,8259.771,541134.9,
19970101,8362.655,542155.7,31767295510781.6
19970401,8518.825,544079.3,
19970701,8662.823,544025.6,
19971001,8765.907,544966.5,
19980101,8866.48,537983.2,31711056230286.6
19980401,8969.699,534815.6,
19980701,9121.097,533900.4,
19981001,9293.991,539289.2,
19990101,9411.682,529062.4,32757333536608.6
19990401,9526.21,529018.9,
19990701,9686.626,528593.7,
19991001,9900.169,527863.2,
20000101,10002.179,535133.1,33868713738357.9
20000401,10247.72,535358.7,
20000701,10318.165,534440.3,
20001001,10435.744,537843.6,
20010101,10470.231,542552.3,33662293242135.4
20010401,10599.0,534253.8,
20010701,10598.02,527026.0,
20011001,10660.465,523926.0,
20020101,10783.5,525460.8,34959942302257.2
20020401,10887.46,524239.7,
20020701,10984.04,524193.6,
20021001,11061.433,524421.5,
20030101,11174.129,521369.6,39205591618517.2
20030401,11312.766,524525.4,
20030701,11566.669,524373.9,
20031001,11772.234,526400.0,
20040101,11923.447,529373.6,44181897123631.9
20040401,12112.815,527644.3,
20040701,12305.307,530486.0,
20041001,12527.214,529913.4,
20050101,12767.286,529918.9,47847635179349.8
20050401,12922.656,531327.5,
20050701,13142.642,534596.6,
20051001,13324.204,534734.6,
20060101,13599.16,534546.7,51859668488984.3
20060401,13753.424,533999.1,
